,Date,a,b,c,d,e,f,Bonus
0,2014-12-31,26,27,32,35,36,40,30
1,2014-12-27,6,8,24,27,38,40,23
2,2014-12-24,2,3,16,21,29,45,17
3,2014-12-20,1,6,12,21,23,45,17
4,2014-12-17,4,14,25,27,31,37,44
5,2014-12-13,3,8,10,19,28,36,44
6,2014-12-10,2,15,18,21,35,39,33
7,2014-12-06,7,10,17,25,28,36,2
8,2014-12-03,10,14,17,18,40,45,43
9,2014-11-29,7,8,18,28,35,39,37
10,2014-11-26,2,3,11,12,23,42,27
11,2014-11-22,1,6,18,19,26,44,28
12,2014-11-19,9,11,12,29,31,35,1
13,2014-11-15,3,4,9,10,16,38,35
14,2014-11-12,6,17,20,22,38,40,27
15,2014-11-08,1,7,17,28,34,36,41
16,2014-11-05,2,5,20,22,37,44,16
17,2014-11-01,5,10,27,29,31,35,37
18,2014-10-29,5,23,33,37,40,44,9
19,2014-10-25,3,5,8,15,16,23,43
20,2014-10-22,1,7,13,32,40,42,14
21,2014-10-18,2,8,18,25,30,31,45
22,2014-10-15,8,13,20,22,29,33,42
23,2014-10-11,2,21,29,32,40,42,41
24,2014-10-08,2,30,31,38,40,41,26
25,2014-10-04,12,14,32,35,39,41,6
26,2014-10-01,21,23,26,37,43,44,31
27,2014-09-27,10,16,17,18,23,25,19
28,2014-09-24,5,23,26,29,31,39,8
29,2014-09-20,15,18,29,32,35,38,12
30,2014-09-17,19,25,26,27,39,45,42
31,2014-09-13,8,24,33,35,40,43,31
32,2014-09-10,2,7,34,37,41,42,32
33,2014-09-06,6,9,11,21,33,38,26
34,2014-09-03,4,6,13,22,41,43,12
35,2014-08-30,4,7,9,35,37,44,38
36,2014-08-27,4,9,19,27,30,39,43
37,2014-08-23,3,9,18,28,32,43,44
38,2014-08-20,21,22,27,30,32,40,24
39,2014-08-16,3,4,10,26,36,44,37
40,2014-08-13,2,10,12,21,37,39,28
41,2014-08-09,11,12,19,21,43,45,9
42,2014-08-06,7,11,24,32,33,40,38
43,2014-08-02,11,24,26,36,38,45,37
44,2014-07-30,7,8,13,18,24,41,23
45,2014-07-26,2,12,19,35,38,44,9
46,2014-07-23,7,9,24,26,36,43,44
47,2014-07-19,1,20,22,23,29,45,17
48,2014-07-16,1,12,15,23,24,29,34
49,2014-07-12,5,19,28,29,39,43,18
50,2014-07-09,5,6,19,32,42,43,9
51,2014-07-05,10,18,23,26,42,45,13
52,2014-07-02,11,16,20,30,34,43,12
53,2014-06-28,1,5,29,31,34,37,12
54,2014-06-25,7,11,13,20,26,43,41
55,2014-06-21,1,9,16,17,34,45,21
56,2014-06-18,21,22,24,29,38,45,18
57,2014-06-14,4,8,15,18,19,22,1
58,2014-06-11,9,19,22,27,30,38,16
59,2014-06-07,10,19,20,24,30,39,8
60,2014-06-04,13,14,24,31,35,43,21
61,2014-05-31,2,3,6,20,27,32,33
62,2014-05-28,3,14,17,19,36,38,44
63,2014-05-24,2,11,21,27,30,41,4
64,2014-05-21,5,9,24,29,31,42,16
65,2014-05-17,5,7,14,30,36,44,18
66,2014-05-14,3,5,18,22,31,37,38
67,2014-05-10,5,13,22,24,33,38,26
68,2014-05-07,9,13,20,35,38,39,42
69,2014-05-03,10,11,17,39,41,43,32
70,2014-04-30,4,5,23,26,27,41,24
71,2014-04-26,2,3,5,14,24,41,37
72,2014-04-23,5,6,12,13,25,30,32
73,2014-04-19,13,16,22,26,36,43,24
74,2014-04-16,6,10,12,22,41,45,7
75,2014-04-12,4,6,12,22,29,36,33
76,2014-04-09,8,9,14,15,42,44,36
77,2014-04-05,1,7,8,14,41,45,21
78,2014-04-02,24,32,33,34,38,39,43
79,2014-03-29,5,12,19,21,29,45,8
80,2014-03-26,2,9,17,21,30,37,44
81,2014-03-22,2,3,20,22,29,39,4
82,2014-03-19,9,12,37,40,41,42,35
83,2014-03-15,7,10,13,27,34,38,20
84,2014-03-12,2,12,23,35,37,42,22
85,2014-03-08,5,6,14,17,25,38,1
86,2014-03-05,4,19,24,25,27,43,26
87,2014-03-01,6,18,19,38,40,42,23
88,2014-02-26,9,13,27,28,34,39,40
89,2014-02-22,8,15,18,21,36,45,13
90,2014-02-19,1,6,24,33,43,44,11
91,2014-02-15,5,8,20,21,24,32,31
92,2014-02-12,5,20,21,24,33,35,30
93,2014-02-08,7,11,16,17,36,44,6
94,2014-02-05,9,10,30,35,39,45,37
95,2014-02-01,14,29,30,33,36,45,35
96,2014-01-29,2,12,21,27,39,43,36
97,2014-01-25,1,4,10,20,30,45,38
98,2014-01-22,7,19,21,28,31,42,34
99,2014-01-18,4,5,13,21,29,37,22
100,2014-01-15,17,19,23,26,30,35,28
101,2014-01-11,2,3,10,14,24,41,1
102,2014-01-08,2,15,23,30,31,42,32
103,2014-01-04,4,25,35,38,42,43,28
104,2014-01-01,8,14,22,31,42,45,7
