,Date,a,b,c,d,e,f,Bonus
0,1997-12-31,1,6,10,13,18,23,32
1,1997-12-27,7,21,23,25,34,40,12
2,1997-12-24,10,12,16,21,26,36,20
3,1997-12-20,5,10,16,19,27,41,9
4,1997-12-20,14,20,24,27,29,35,39
5,1997-12-17,5,14,16,21,24,25,30
6,1997-12-13,9,16,20,25,38,40,37
7,1997-12-10,10,17,27,31,32,33,11
8,1997-12-06,6,9,14,30,35,40,13
9,1997-12-03,8,15,29,32,39,42,9
10,1997-11-29,4,11,12,31,32,40,26
11,1997-11-26,3,18,22,29,33,37,24
12,1997-11-22,9,10,19,24,27,41,36
13,1997-11-19,4,9,13,21,30,41,42
14,1997-11-15,13,14,26,28,35,36,10
15,1997-11-12,1,6,22,27,36,38,9
16,1997-11-08,2,3,16,19,23,26,18
17,1997-11-05,2,15,23,33,37,42,19
18,1997-11-01,14,22,28,36,41,42,1
19,1997-10-29,3,4,9,22,25,33,20
20,1997-10-25,11,14,25,26,36,38,41
21,1997-10-22,5,10,22,26,28,41,17
22,1997-10-18,9,19,30,31,39,41,10
23,1997-10-15,9,12,16,24,31,34,23
24,1997-10-11,3,6,12,25,30,32,4
25,1997-10-08,2,12,15,19,20,34,39
26,1997-10-04,2,8,21,28,31,35,25
27,1997-10-01,6,9,21,24,39,42,27
28,1997-09-27,6,21,23,24,37,39,31
29,1997-09-24,9,12,15,25,26,40,3
30,1997-09-20,10,12,14,19,34,38,27
31,1997-09-17,6,14,15,22,28,39,24
32,1997-09-13,2,19,23,25,36,38,11
33,1997-09-10,4,7,11,16,21,35,33
34,1997-09-06,1,7,23,26,38,42,41
35,1997-09-06,8,10,15,28,32,40,9
36,1997-09-03,2,10,22,27,35,42,33
37,1997-08-30,3,8,13,15,33,42,7
38,1997-08-27,3,6,15,25,37,41,42
39,1997-08-23,12,23,32,33,35,40,18
40,1997-08-20,7,9,16,17,37,40,27
41,1997-08-16,7,11,17,28,29,33,9
42,1997-08-13,6,8,10,18,23,42,13
43,1997-08-09,9,13,22,27,30,34,35
44,1997-08-06,14,15,29,31,37,39,4
45,1997-08-02,12,17,22,25,31,39,3
46,1997-07-30,18,20,21,30,35,40,23
47,1997-07-26,5,28,29,30,34,42,3
48,1997-07-23,5,14,21,29,36,42,6
49,1997-07-19,4,7,19,25,29,40,22
50,1997-07-16,2,4,22,31,36,39,15
51,1997-07-12,14,16,19,21,24,35,5
52,1997-07-09,10,14,15,22,35,38,37
53,1997-07-05,14,15,17,20,30,31,40
54,1997-07-02,8,15,17,27,28,37,39
55,1997-06-28,8,14,22,31,37,42,30
56,1997-06-25,9,19,23,25,28,42,11
57,1997-06-21,1,2,8,15,24,29,31
58,1997-06-18,1,4,5,23,32,35,15
59,1997-06-14,1,7,10,11,27,33,28
60,1997-06-11,8,9,10,12,18,26,1
61,1997-06-07,2,11,16,31,35,38,19
62,1997-06-04,3,9,10,32,34,35,22
63,1997-05-31,17,18,28,29,33,38,31
64,1997-05-28,12,17,25,26,27,40,14
65,1997-05-24,1,2,21,24,27,41,11
66,1997-05-21,8,20,21,24,31,32,3
67,1997-05-17,1,2,11,25,26,29,37
68,1997-05-14,1,8,25,33,38,40,17
69,1997-05-10,8,17,18,25,36,40,4
70,1997-05-07,4,5,10,12,34,42,16
71,1997-05-03,6,8,15,18,36,40,7
72,1997-05-03,14,17,18,26,33,40,30
73,1997-04-30,4,6,20,24,38,42,33
74,1997-04-26,6,7,16,19,21,25,34
75,1997-04-23,6,13,16,18,24,27,32
76,1997-04-19,14,15,16,27,37,41,31
77,1997-04-16,1,8,17,18,33,40,2
78,1997-04-12,4,22,24,34,36,39,25
79,1997-04-09,3,18,19,23,27,31,25
80,1997-04-05,1,3,12,13,19,37,20
81,1997-04-02,9,11,18,20,21,39,29
82,1997-03-29,4,15,18,22,28,38,41
83,1997-03-26,12,13,29,30,34,39,22
84,1997-03-22,1,6,8,13,20,42,29
85,1997-03-19,12,15,19,29,34,37,11
86,1997-03-15,6,9,24,25,28,42,11
87,1997-03-15,17,22,23,30,34,41,5
88,1997-03-12,8,12,17,20,32,39,36
89,1997-03-08,1,7,10,19,23,40,9
90,1997-03-05,2,5,7,24,30,39,4
91,1997-03-01,9,10,22,27,35,37,25
92,1997-02-26,1,19,20,29,30,41,36
93,1997-02-22,4,12,33,35,39,40,5
94,1997-02-19,5,8,18,28,31,34,11
95,1997-02-15,5,12,19,21,25,33,36
96,1997-02-12,6,15,26,30,39,40,27
97,1997-02-08,11,23,24,26,30,34,18
98,1997-02-05,8,28,30,35,39,42,14
99,1997-02-01,4,10,11,29,35,36,20
100,1997-01-29,11,14,20,25,32,36,31
101,1997-01-25,4,7,19,30,32,35,28
102,1997-01-22,6,11,17,33,37,41,24
103,1997-01-18,15,20,21,28,32,39,12
104,1997-01-15,12,25,26,31,40,42,1
105,1997-01-11,3,5,21,23,31,37,35
106,1997-01-08,2,8,17,20,26,41,36
107,1997-01-04,6,18,20,30,31,35,17
108,1997-01-01,2,12,23,30,37,38,31
