,Date,a,b,c,d,e,f,Bonus
0,2015-12-30,9,18,22,25,43,44,6
1,2015-12-26,5,6,10,14,40,41,16
2,2015-12-23,15,21,28,32,36,47,39
3,2015-12-19,3,14,22,38,45,46,16
4,2015-12-16,3,8,27,32,39,47,1
5,2015-12-12,1,10,13,14,16,30,32
6,2015-12-09,1,4,12,31,37,39,18
7,2015-12-05,1,6,17,25,31,38,29
8,2015-12-02,8,9,16,26,32,47,35
9,2015-11-28,3,7,17,24,26,29,40
10,2015-11-25,2,5,7,16,46,47,15
11,2015-11-21,3,9,13,27,38,44,14
12,2015-11-18,5,7,10,16,30,46,32
13,2015-11-14,12,16,22,36,40,43,4
14,2015-11-11,3,5,14,30,40,43,45
15,2015-11-07,5,8,9,10,15,29,17
16,2015-11-04,1,5,8,19,20,28,3
17,2015-10-31,3,8,15,25,39,45,28
18,2015-10-28,5,7,10,18,41,47,44
19,2015-10-24,3,12,15,19,23,32,20
20,2015-10-21,10,11,36,41,44,46,45
21,2015-10-17,4,7,19,22,25,41,8
22,2015-10-14,8,13,16,18,30,31,39
23,2015-10-10,1,21,34,36,38,40,5
24,2015-10-07,8,12,13,28,34,46,44
25,2015-10-03,1,15,17,31,36,45,18
26,2015-09-30,4,9,27,31,38,39,10
27,2015-09-26,4,8,26,28,34,38,30
28,2015-09-23,5,6,14,16,32,43,27
29,2015-09-19,7,26,34,39,41,42,31
30,2015-09-16,3,9,22,25,27,31,23
31,2015-09-12,6,12,15,17,32,40,21
32,2015-09-09,2,6,21,26,43,45,12
33,2015-09-05,7,9,17,20,26,27,40
34,2015-09-02,7,20,22,33,35,42,41
35,2015-08-29,10,14,22,24,26,44,12
36,2015-08-26,1,5,21,24,30,42,38
37,2015-08-22,5,17,19,20,29,32,23
38,2015-08-19,5,16,18,23,35,42,8
39,2015-08-15,3,4,22,33,37,45,15
40,2015-08-12,2,8,18,21,28,43,5
41,2015-08-08,9,26,33,37,40,44,42
42,2015-08-05,8,9,17,33,36,40,15
43,2015-08-01,3,7,11,33,37,42,39
44,2015-07-29,12,14,18,22,32,39,21
45,2015-07-25,11,33,34,39,41,44,40
46,2015-07-22,6,7,24,37,38,40,1
47,2015-07-18,7,10,13,24,27,35,45
48,2015-07-15,4,7,18,23,36,38,5
49,2015-07-11,1,20,24,25,37,38,6
50,2015-07-08,2,10,21,28,40,43,8
51,2015-07-04,2,12,14,18,36,43,22
52,2015-07-01,6,13,16,29,34,42,27
53,2015-06-27,1,2,7,22,35,45,4
54,2015-06-24,7,14,22,30,35,41,5
55,2015-06-20,11,20,30,34,36,39,10
56,2015-06-17,10,14,26,39,40,43,21
57,2015-06-13,10,17,20,31,33,38,27
58,2015-06-10,11,16,21,27,29,35,43
59,2015-06-06,7,27,35,39,43,44,15
60,2015-06-03,3,9,14,32,33,36,19
61,2015-05-30,8,28,35,40,41,43,32
62,2015-05-27,7,18,24,32,37,40,21
63,2015-05-23,6,21,23,28,30,32,39
64,2015-05-20,12,15,16,31,38,40,27
65,2015-05-16,18,19,28,32,35,44,29
66,2015-05-13,10,14,29,34,39,42,38
67,2015-05-09,2,5,13,17,32,34,45
68,2015-05-06,6,13,18,24,29,41,45
69,2015-05-02,1,7,18,28,30,36,6
70,2015-04-29,3,9,14,18,35,38,40
71,2015-04-25,3,17,18,29,35,37,13
72,2015-04-22,13,20,22,28,33,39,40
73,2015-04-18,6,12,27,35,36,42,41
74,2015-04-15,1,15,17,21,30,33,29
75,2015-04-11,6,8,25,29,31,42,11
76,2015-04-08,2,4,22,26,30,36,7
77,2015-04-04,30,31,32,35,37,40,44
78,2015-04-01,1,17,23,29,30,44,42
79,2015-03-28,2,10,18,26,39,43,7
80,2015-03-25,1,12,29,34,39,41,14
81,2015-03-21,6,17,20,24,28,38,11
82,2015-03-18,12,21,29,32,36,38,45
83,2015-03-14,2,6,8,34,36,40,35
84,2015-03-11,2,4,6,20,21,45,37
85,2015-03-07,3,21,22,23,30,45,25
86,2015-03-04,5,8,19,34,44,45,18
87,2015-02-28,4,29,32,35,37,39,23
88,2015-02-25,3,4,6,9,23,26,32
89,2015-02-21,12,27,28,39,41,45,25
90,2015-02-18,2,3,8,16,32,44,36
91,2015-02-14,4,5,6,11,35,40,10
92,2015-02-11,19,21,24,25,30,32,39
93,2015-02-07,6,8,10,24,30,43,11
94,2015-02-05,9,10,18,20,24,26,35
95,2015-01-31,2,6,8,13,30,44,45
96,2015-01-28,2,15,21,30,32,34,36
97,2015-01-24,1,9,12,38,43,44,28
98,2015-01-21,2,16,22,25,35,40,18
99,2015-01-17,8,13,22,23,43,45,33
100,2015-01-14,5,6,9,17,35,41,14
101,2015-01-10,6,7,25,30,37,45,8
102,2015-01-07,4,7,26,29,39,42,1
103,2015-01-03,7,8,21,26,29,42,37
