,Date,a,b,c,d,e,f,Bonus
0,1998-12-30,11,16,19,21,28,31,12
1,1998-12-26,11,18,31,33,34,35,10
2,1998-12-23,1,7,14,33,35,41,24
3,1998-12-19,12,16,21,23,36,41,10
4,1998-12-16,4,10,18,32,33,34,23
5,1998-12-12,1,2,13,15,22,31,39
6,1998-12-09,7,9,12,16,37,42,18
7,1998-12-05,12,21,33,36,40,41,26
8,1998-12-02,9,17,22,30,36,42,20
9,1998-11-28,6,13,14,22,23,24,35
10,1998-11-25,4,12,24,29,32,36,39
11,1998-11-21,4,8,10,22,35,37,40
12,1998-11-18,4,17,26,30,31,35,28
13,1998-11-14,1,5,19,32,35,36,23
14,1998-11-11,5,11,17,28,29,33,40
15,1998-11-07,8,16,21,30,31,40,23
16,1998-11-04,3,8,10,12,14,15,27
17,1998-10-31,2,3,4,15,23,35,21
18,1998-10-28,8,18,21,38,39,42,30
19,1998-10-24,19,22,29,32,34,36,18
20,1998-10-21,10,17,21,29,31,34,5
21,1998-10-17,7,9,14,32,34,37,23
22,1998-10-14,10,14,22,23,35,41,27
23,1998-10-10,6,13,17,18,28,38,29
24,1998-10-07,4,13,17,28,30,38,19
25,1998-10-03,14,21,25,26,28,37,34
26,1998-09-30,7,8,18,29,34,37,12
27,1998-09-26,14,21,32,37,38,41,5
28,1998-09-23,1,12,13,14,39,42,24
29,1998-09-19,2,10,16,21,22,25,41
30,1998-09-16,5,7,21,38,39,40,20
31,1998-09-12,1,7,9,28,32,36,34
32,1998-09-09,15,16,26,30,31,35,36
33,1998-09-05,2,15,22,32,33,38,6
34,1998-09-05,8,16,18,21,24,42,7
35,1998-09-02,1,3,10,22,32,35,26
36,1998-08-29,7,20,21,22,25,28,4
37,1998-08-26,4,8,9,19,24,37,34
38,1998-08-22,4,9,15,16,29,35,37
39,1998-08-19,1,6,10,23,39,41,42
40,1998-08-15,9,19,20,23,27,41,13
41,1998-08-12,7,13,14,17,18,23,2
42,1998-08-08,4,5,6,14,31,34,11
43,1998-08-05,1,9,10,34,36,39,16
44,1998-08-01,5,13,21,32,34,41,16
45,1998-07-29,6,10,15,19,30,41,7
46,1998-07-25,1,14,17,23,26,40,24
47,1998-07-22,20,21,24,27,31,36,28
48,1998-07-18,1,8,20,24,37,39,31
49,1998-07-15,5,6,10,21,22,37,28
50,1998-07-11,11,18,19,29,36,41,16
51,1998-07-08,1,7,12,15,17,21,26
52,1998-07-04,6,23,27,31,32,41,18
53,1998-07-01,1,16,20,23,38,39,11
54,1998-06-27,6,7,10,12,36,38,32
55,1998-06-24,1,8,23,24,25,37,18
56,1998-06-20,9,10,19,25,36,42,37
57,1998-06-17,9,15,22,24,36,41,26
58,1998-06-13,1,4,15,17,27,38,25
59,1998-06-10,1,9,12,14,23,31,5
60,1998-06-06,2,11,13,15,27,29,41
61,1998-06-03,2,3,5,16,29,41,19
62,1998-05-30,6,11,14,27,32,40,15
63,1998-05-27,1,7,11,18,22,25,40
64,1998-05-23,12,14,20,30,39,42,41
65,1998-05-20,13,16,21,23,35,39,29
66,1998-05-16,9,11,18,22,24,40,8
67,1998-05-13,1,7,8,11,40,42,10
68,1998-05-09,9,15,17,27,41,42,1
69,1998-05-06,2,3,8,22,30,42,16
70,1998-05-02,6,8,22,36,37,39,5
71,1998-05-02,13,16,17,29,32,39,37
72,1998-04-29,8,13,20,32,33,40,31
73,1998-04-25,16,27,31,33,35,39,24
74,1998-04-22,9,10,12,19,37,40,41
75,1998-04-18,6,8,13,16,36,40,15
76,1998-04-15,2,12,13,16,18,41,1
77,1998-04-11,8,15,18,22,32,35,20
78,1998-04-08,6,8,19,20,21,26,35
79,1998-04-04,1,2,11,17,18,19,26
80,1998-04-01,2,5,13,24,28,34,17
81,1998-03-28,1,11,16,17,21,40,14
82,1998-03-25,4,5,6,16,25,36,41
83,1998-03-21,5,7,11,15,31,41,6
84,1998-03-18,12,15,19,32,34,40,4
85,1998-03-14,9,13,22,28,39,42,7
86,1998-03-14,2,6,14,20,23,32,33
87,1998-03-11,7,11,15,16,17,33,21
88,1998-03-07,5,11,18,23,24,26,35
89,1998-03-04,2,6,7,23,30,32,14
90,1998-02-28,13,16,25,27,29,36,31
91,1998-02-25,3,9,10,17,34,41,19
92,1998-02-21,3,9,11,17,25,27,36
93,1998-02-18,5,9,10,15,18,32,21
94,1998-02-14,3,5,9,18,28,34,14
95,1998-02-11,4,18,28,29,35,41,38
96,1998-02-07,1,2,11,19,22,41,10
97,1998-02-04,1,6,19,37,38,39,41
98,1998-01-31,5,14,19,21,26,27,31
99,1998-01-28,3,19,31,32,33,39,22
100,1998-01-24,4,5,25,27,39,41,3
101,1998-01-21,4,16,26,31,34,35,24
102,1998-01-17,1,12,16,18,20,23,38
103,1998-01-14,1,13,15,25,32,40,18
104,1998-01-10,1,9,18,20,23,31,27
105,1998-01-07,4,6,26,30,37,38,24
106,1998-01-03,9,22,25,26,28,37,2
