,Date,a,b,c,d,e,f,Bonus
0,2016-12-31,2,8,10,23,27,29,5
1,2016-12-28,1,12,34,43,45,47,27
2,2016-12-24,8,10,11,16,40,42,38
3,2016-12-21,6,10,23,28,37,41,18
4,2016-12-17,7,20,25,27,41,45,35
5,2016-12-14,1,7,9,27,35,42,44
6,2016-12-10,4,5,17,25,36,41,43
7,2016-12-07,30,36,37,39,43,44,13
8,2016-12-03,2,6,21,23,29,44,41
9,2016-11-30,1,5,24,34,39,41,20
10,2016-11-26,1,19,31,33,37,39,41
11,2016-11-23,3,8,20,27,28,39,14
12,2016-11-19,2,13,19,26,29,46,40
13,2016-11-16,12,14,27,31,37,42,30
14,2016-11-12,2,9,19,28,32,43,47
15,2016-11-09,2,15,18,30,33,40,6
16,2016-11-05,1,16,27,32,35,45,28
17,2016-11-02,13,27,36,39,41,46,16
18,2016-10-29,20,25,28,32,38,39,9
19,2016-10-26,11,21,22,27,30,43,8
20,2016-10-22,7,9,12,15,28,45,35
21,2016-10-19,2,11,24,28,37,47,35
22,2016-10-15,5,10,27,30,32,45,17
23,2016-10-12,4,6,9,20,29,45,32
24,2016-10-08,9,18,24,26,27,35,46
25,2016-10-05,4,17,22,40,42,46,11
26,2016-10-01,2,5,8,14,40,42,7
27,2016-09-28,1,2,20,27,32,38,3
28,2016-09-24,2,7,16,17,27,47,41
29,2016-09-21,2,19,31,40,43,46,5
30,2016-09-17,12,16,17,18,25,35,40
31,2016-09-14,6,7,15,17,20,45,19
32,2016-09-10,5,6,14,24,26,29,20
33,2016-09-07,1,2,10,25,38,41,15
34,2016-09-03,6,9,11,16,19,29,22
35,2016-08-31,8,14,16,34,35,42,13
36,2016-08-27,5,10,20,35,43,44,17
37,2016-08-24,10,17,18,29,37,43,46
38,2016-08-20,10,11,12,15,18,19,35
39,2016-08-17,3,16,29,30,41,43,9
40,2016-08-13,5,13,16,18,19,40,44
41,2016-08-10,6,11,17,20,28,34,25
42,2016-08-06,6,17,18,30,40,43,46
43,2016-08-03,11,14,15,27,29,37,44
44,2016-07-30,8,10,18,20,28,44,4
45,2016-07-27,2,4,5,27,40,47,43
46,2016-07-23,1,10,13,18,27,40,6
47,2016-07-20,22,35,36,41,44,45,3
48,2016-07-16,15,28,39,40,42,43,9
49,2016-07-13,6,9,17,33,44,47,37
50,2016-07-09,3,11,32,33,37,44,24
51,2016-07-06,4,5,9,12,29,38,22
52,2016-07-02,4,11,24,40,42,43,9
53,2016-06-29,7,10,16,40,44,45,33
54,2016-06-25,1,4,27,29,42,45,3
55,2016-06-22,6,16,23,28,32,35,4
56,2016-06-18,4,6,15,21,22,42,36
57,2016-06-15,10,15,18,20,32,46,5
58,2016-06-11,15,16,19,20,26,29,34
59,2016-06-08,1,10,15,18,30,44,28
60,2016-06-04,4,32,34,35,43,47,31
61,2016-06-01,1,15,31,42,44,47,7
62,2016-05-28,22,28,37,38,41,42,31
63,2016-05-25,16,18,27,31,39,45,44
64,2016-05-21,8,15,17,22,34,38,10
65,2016-05-18,4,8,12,15,25,40,47
66,2016-05-14,19,20,24,31,43,47,3
67,2016-05-11,3,8,14,18,37,41,34
68,2016-05-07,4,5,11,17,34,42,13
69,2016-05-04,2,28,34,36,45,46,9
70,2016-04-30,14,21,23,25,30,34,17
71,2016-04-27,2,5,17,27,34,45,4
72,2016-04-23,1,9,15,23,33,38,29
73,2016-04-20,4,5,7,14,18,31,28
74,2016-04-16,2,10,28,38,44,46,1
75,2016-04-13,1,9,16,34,37,46,31
76,2016-04-09,14,22,37,40,43,45,13
77,2016-04-06,9,27,30,38,40,46,14
78,2016-04-02,2,3,6,22,25,42,34
79,2016-03-30,2,10,27,38,39,43,9
80,2016-03-26,4,8,20,23,29,41,6
81,2016-03-23,3,10,21,25,28,34,19
82,2016-03-19,7,13,26,36,39,42,18
83,2016-03-16,4,14,21,28,35,36,25
84,2016-03-12,9,18,23,27,31,38,30
85,2016-03-09,4,6,12,13,15,31,14
86,2016-03-05,2,8,16,24,33,42,47
87,2016-03-02,10,11,21,23,25,44,35
88,2016-02-27,7,8,22,35,39,46,31
89,2016-02-24,1,15,17,34,39,46,12
90,2016-02-20,10,14,22,32,34,40,27
91,2016-02-17,7,10,19,29,39,44,45
92,2016-02-13,2,12,21,22,30,37,10
93,2016-02-10,10,22,27,37,41,42,21
94,2016-02-06,3,4,14,25,42,45,17
95,2016-02-03,1,4,7,14,15,42,37
96,2016-01-30,21,25,26,28,33,47,30
97,2016-01-27,6,7,11,17,23,33,21
98,2016-01-23,10,12,13,19,43,45,5
99,2016-01-20,3,6,17,23,27,29,5
100,2016-01-16,14,18,25,27,33,44,38
101,2016-01-13,10,14,26,37,42,47,2
102,2016-01-09,2,11,14,28,29,34,37
103,2016-01-06,2,15,25,43,45,46,16
104,2016-01-02,10,19,23,28,31,32,6
