,Date,a,b,c,d,e,f,Bonus
0,2000-12-30,7,9,10,27,29,31,23
1,2000-12-27,1,9,19,22,30,37,26
2,2000-12-23,12,14,25,26,37,38,3
3,2000-12-20,7,13,25,31,33,38,39
4,2000-12-16,1,2,3,4,15,27,14
5,2000-12-13,13,14,18,22,33,41,5
6,2000-12-09,3,5,10,16,18,28,21
7,2000-12-06,1,16,17,22,38,42,14
8,2000-12-02,2,12,21,31,34,41,7
9,2000-11-29,14,26,30,35,37,38,23
10,2000-11-25,9,22,25,28,35,41,5
11,2000-11-22,6,14,21,24,26,30,34
12,2000-11-18,1,7,21,35,36,37,20
13,2000-11-15,9,25,38,40,41,42,21
14,2000-11-11,2,14,17,21,24,35,15
15,2000-11-08,8,11,16,24,30,36,21
16,2000-11-04,3,4,9,13,25,40,24
17,2000-11-01,3,10,21,22,28,41,14
18,2000-10-28,2,11,20,27,29,36,34
19,2000-10-25,2,7,12,19,28,39,24
20,2000-10-21,12,13,22,24,31,41,38
21,2000-10-18,3,4,10,27,39,41,5
22,2000-10-14,2,3,10,16,25,38,26
23,2000-10-11,8,12,13,14,22,23,32
24,2000-10-07,21,22,24,33,38,39,1
25,2000-10-04,2,3,12,19,30,32,14
26,2000-09-30,1,6,8,23,25,35,5
27,2000-09-27,8,10,15,32,35,37,12
28,2000-09-23,11,19,23,32,39,41,33
29,2000-09-20,3,6,11,17,26,35,22
30,2000-09-16,9,11,20,24,36,42,23
31,2000-09-13,8,11,16,32,33,37,30
32,2000-09-09,3,4,13,14,22,25,32
33,2000-09-06,13,17,20,21,26,34,11
34,2000-09-02,1,7,14,18,24,31,15
35,2000-08-30,6,18,21,22,32,41,42
36,2000-08-26,11,12,19,20,32,33,7
37,2000-08-23,6,13,18,23,35,36,21
38,2000-08-19,2,20,21,23,30,32,16
39,2000-08-16,6,17,18,23,34,36,35
40,2000-08-12,5,15,28,31,38,42,16
41,2000-08-09,2,23,30,31,33,35,14
42,2000-08-05,8,11,19,37,39,40,28
43,2000-08-02,4,7,14,15,22,25,29
44,2000-07-29,3,16,19,22,26,29,17
45,2000-07-26,1,14,21,23,32,36,20
46,2000-07-22,2,16,17,21,31,34,13
47,2000-07-19,6,17,32,33,40,42,18
48,2000-07-15,6,11,17,25,26,36,24
49,2000-07-12,2,10,11,14,36,38,32
50,2000-07-08,2,20,29,40,41,42,19
51,2000-07-05,6,23,27,30,37,42,41
52,2000-07-01,5,16,18,21,37,42,34
53,2000-06-28,3,12,17,19,35,38,9
54,2000-06-24,4,12,19,21,25,41,33
55,2000-06-21,4,5,12,13,19,20,17
56,2000-06-17,2,15,18,25,27,37,20
57,2000-06-14,2,4,8,10,12,42,41
58,2000-06-10,3,15,16,20,30,31,37
59,2000-06-07,8,11,16,24,30,42,31
60,2000-06-03,13,26,27,30,35,40,21
61,2000-05-31,5,6,17,19,25,33,3
62,2000-05-27,1,7,9,21,27,30,29
63,2000-05-24,7,9,12,15,20,39,30
64,2000-05-20,3,17,26,30,31,34,25
65,2000-05-17,1,6,12,24,28,35,13
66,2000-05-13,3,7,11,14,28,37,25
67,2000-05-10,22,25,26,30,40,42,2
68,2000-05-06,9,18,28,32,39,41,24
69,2000-05-03,10,12,34,36,38,39,11
70,2000-04-29,1,2,9,24,26,29,32
71,2000-04-26,1,10,12,29,39,40,28
72,2000-04-22,8,15,21,27,33,39,31
73,2000-04-19,10,11,17,18,27,30,5
74,2000-04-15,3,9,20,27,28,31,42
75,2000-04-12,1,2,8,9,27,42,23
76,2000-04-08,3,4,12,18,29,40,14
77,2000-04-05,4,5,10,20,31,37,9
78,2000-04-01,5,7,11,13,22,28,35
79,2000-03-29,14,15,16,20,33,36,26
80,2000-03-25,3,6,11,21,24,39,15
81,2000-03-22,1,15,19,25,29,40,8
82,2000-03-18,10,12,23,29,31,40,26
83,2000-03-15,4,9,11,27,31,38,12
84,2000-03-11,22,24,27,32,34,40,41
85,2000-03-08,1,4,16,26,32,40,14
86,2000-03-04,7,8,10,25,26,39,5
87,2000-03-01,6,16,19,28,31,39,36
88,2000-02-26,2,14,22,25,40,41,42
89,2000-02-23,5,11,12,18,25,42,27
90,2000-02-19,5,12,22,28,29,36,8
91,2000-02-16,4,18,23,28,32,37,29
92,2000-02-12,2,11,28,31,32,35,21
93,2000-02-09,9,21,25,27,28,41,2
94,2000-02-05,13,18,23,24,29,40,37
95,2000-02-02,3,6,9,12,18,40,39
96,2000-01-29,4,24,35,37,39,42,16
97,2000-01-26,5,14,17,22,30,35,16
98,2000-01-22,4,9,15,17,25,42,10
99,2000-01-19,3,6,8,10,18,42,16
100,2000-01-15,1,3,16,30,39,41,34
101,2000-01-12,13,19,20,27,39,40,36
102,2000-01-08,6,10,21,27,41,42,2
103,2000-01-05,2,18,25,29,30,37,36
104,2000-01-01,6,18,21,24,28,30,25
