,Date,a,b,c,d,e,f,Bonus
0,2013-12-28,6,7,16,22,40,45,23
1,2013-12-26,1,13,15,22,24,37,26
2,2013-12-21,1,2,6,25,30,42,40
3,2013-12-18,1,6,32,37,41,43,13
4,2013-12-14,2,16,19,26,27,31,30
5,2013-12-11,2,13,15,31,33,42,24
6,2013-12-07,12,20,21,33,35,44,31
7,2013-12-04,13,16,31,43,44,45,23
8,2013-11-30,4,5,14,25,28,31,23
9,2013-11-27,1,14,15,23,27,44,12
10,2013-11-23,1,3,8,11,14,34,40
11,2013-11-20,7,15,24,29,35,43,41
12,2013-11-16,5,8,12,18,23,32,20
13,2013-11-13,4,12,17,32,34,38,16
14,2013-11-09,12,17,19,25,38,44,28
15,2013-11-06,20,26,27,32,40,41,5
16,2013-11-02,1,7,20,25,33,45,41
17,2013-10-30,9,14,15,22,24,43,40
18,2013-10-26,9,12,18,19,31,44,1
19,2013-10-23,14,31,32,34,35,40,20
20,2013-10-19,3,6,7,12,14,38,35
21,2013-10-16,12,19,30,38,40,43,8
22,2013-10-12,1,10,15,21,22,40,18
23,2013-10-09,7,25,28,30,32,33,19
24,2013-10-05,6,14,22,28,37,44,2
25,2013-10-02,9,15,18,21,34,35,42
26,2013-09-28,19,24,32,33,37,43,35
27,2013-09-25,1,10,34,36,41,42,18
28,2013-09-21,4,27,37,39,40,45,42
29,2013-09-18,10,12,14,15,31,36,40
30,2013-09-14,5,9,15,31,35,43,23
31,2013-09-11,9,14,16,20,23,32,29
32,2013-09-07,7,10,15,18,25,31,26
33,2013-09-04,2,4,9,12,28,31,35
34,2013-08-31,1,6,8,15,38,39,22
35,2013-08-28,22,34,36,40,44,45,15
36,2013-08-24,1,2,23,24,26,29,13
37,2013-08-21,14,21,24,26,31,38,10
38,2013-08-17,4,11,16,33,43,45,10
39,2013-08-14,9,17,27,38,39,42,20
40,2013-08-10,7,12,16,27,37,38,28
41,2013-08-07,6,7,27,33,35,40,29
42,2013-08-03,8,16,23,30,38,45,34
43,2013-07-31,5,6,25,28,38,45,41
44,2013-07-27,9,22,37,40,42,44,25
45,2013-07-24,7,9,10,39,42,43,38
46,2013-07-20,12,18,24,29,34,45,30
47,2013-07-17,2,3,4,19,33,38,16
48,2013-07-13,2,6,10,22,29,38,37
49,2013-07-10,4,6,17,35,37,39,45
50,2013-07-06,3,4,18,19,26,42,21
51,2013-07-03,8,18,22,24,26,38,16
52,2013-06-29,12,17,19,22,28,43,36
53,2013-06-26,6,20,29,31,35,42,33
54,2013-06-22,3,7,14,33,36,41,25
55,2013-06-19,3,6,10,27,40,42,39
56,2013-06-15,1,6,8,15,26,28,29
57,2013-06-12,6,9,16,21,28,41,24
58,2013-06-08,1,4,10,13,14,17,19
59,2013-06-05,4,5,7,18,24,32,17
60,2013-06-01,2,8,11,14,17,36,18
61,2013-05-29,6,12,14,16,33,43,2
62,2013-05-25,10,11,21,35,37,42,43
63,2013-05-22,5,8,11,14,23,34,10
64,2013-05-18,3,6,10,30,37,45,32
65,2013-05-15,10,13,23,36,40,42,5
66,2013-05-11,10,21,25,28,34,45,30
67,2013-05-08,2,5,20,30,37,39,6
68,2013-05-04,12,16,18,21,31,45,35
69,2013-05-01,16,21,22,26,33,35,45
70,2013-04-27,18,22,23,26,32,42,35
71,2013-04-24,2,9,10,18,23,35,7
72,2013-04-20,3,7,8,15,28,31,21
73,2013-04-17,16,25,31,39,40,43,1
74,2013-04-13,1,15,20,27,41,42,44
75,2013-04-10,6,7,13,34,44,45,39
76,2013-04-06,1,12,16,26,27,29,41
77,2013-04-03,6,14,15,23,24,31,26
78,2013-03-30,5,11,12,17,42,44,8
79,2013-03-27,19,26,27,28,32,39,31
80,2013-03-23,7,12,15,20,25,33,13
81,2013-03-20,16,22,31,33,34,43,20
82,2013-03-16,3,11,22,28,35,37,27
83,2013-03-13,2,11,14,25,30,34,27
84,2013-03-09,2,3,20,29,39,43,37
85,2013-03-06,4,10,11,16,17,35,38
86,2013-03-02,5,8,9,30,33,45,10
87,2013-02-27,2,18,19,20,21,36,27
88,2013-02-23,23,25,30,32,34,39,4
89,2013-02-20,1,3,12,19,23,37,11
90,2013-02-16,14,17,27,29,30,44,4
91,2013-02-13,3,12,29,38,41,43,1
92,2013-02-09,8,9,12,16,29,38,10
93,2013-02-06,3,5,9,13,25,42,39
94,2013-02-02,4,12,15,27,36,43,21
95,2013-01-30,3,8,11,23,27,33,36
96,2013-01-26,3,9,13,20,21,41,14
97,2013-01-23,10,12,20,21,27,39,41
98,2013-01-19,10,17,19,26,36,40,43
99,2013-01-16,9,21,24,33,35,36,10
100,2013-01-12,2,13,22,24,32,33,25
101,2013-01-09,4,14,17,19,36,42,34
102,2013-01-05,12,14,23,31,32,44,21
103,2013-01-02,2,8,16,18,30,45,43
