,Date,a,b,c,d,e,f,Bonus
0,1999-12-29,4,17,28,32,33,34,13
1,1999-12-24,5,8,10,12,14,28,11
2,1999-12-22,13,30,36,40,41,42,1
3,1999-12-18,8,9,30,33,36,40,13
4,1999-12-15,4,11,17,19,38,39,5
5,1999-12-11,3,5,6,32,40,42,11
6,1999-12-08,9,18,23,27,31,33,15
7,1999-12-04,19,20,21,22,28,42,32
8,1999-12-01,3,11,18,25,32,42,40
9,1999-11-27,17,30,31,32,37,42,3
10,1999-11-24,2,5,21,22,24,42,20
11,1999-11-20,4,10,23,28,31,39,13
12,1999-11-17,1,3,18,19,24,29,30
13,1999-11-13,5,8,9,16,23,27,13
14,1999-11-10,8,15,18,26,32,40,30
15,1999-11-06,2,3,12,17,29,36,26
16,1999-11-03,6,9,11,17,30,42,20
17,1999-10-30,11,17,31,33,35,40,1
18,1999-10-27,4,5,13,24,28,39,27
19,1999-10-23,11,17,25,29,37,40,34
20,1999-10-20,18,19,22,32,35,36,24
21,1999-10-16,15,18,20,22,29,38,1
22,1999-10-13,11,20,23,24,27,33,8
23,1999-10-09,7,10,25,32,33,35,40
24,1999-10-06,13,14,16,18,26,37,33
25,1999-10-02,2,4,14,28,36,42,19
26,1999-09-29,8,15,17,18,19,41,22
27,1999-09-25,1,6,10,29,34,41,24
28,1999-09-22,2,9,22,26,32,34,29
29,1999-09-18,6,8,9,10,24,36,29
30,1999-09-15,6,7,9,14,19,26,37
31,1999-09-11,14,15,21,32,36,41,8
32,1999-09-08,9,15,16,18,21,35,13
33,1999-09-04,1,3,17,18,27,41,29
34,1999-09-01,7,8,21,22,30,40,20
35,1999-08-28,7,10,11,29,35,39,14
36,1999-08-25,10,12,14,18,20,31,23
37,1999-08-21,7,10,11,17,24,32,21
38,1999-08-18,8,11,13,16,19,34,23
39,1999-08-14,7,19,20,27,35,41,1
40,1999-08-11,3,9,23,31,33,36,29
41,1999-08-07,10,15,16,31,33,42,25
42,1999-08-04,3,18,19,34,41,42,5
43,1999-07-31,7,13,15,34,39,42,40
44,1999-07-28,5,11,12,29,34,37,9
45,1999-07-24,11,22,24,30,34,38,23
46,1999-07-21,2,9,18,26,34,38,14
47,1999-07-17,2,4,21,34,36,39,11
48,1999-07-14,2,4,14,27,34,39,11
49,1999-07-10,6,16,18,26,34,38,22
50,1999-07-07,6,23,32,33,34,35,18
51,1999-07-03,11,16,17,28,34,41,32
52,1999-06-30,6,10,11,25,26,37,14
53,1999-06-26,9,11,18,30,33,39,38
54,1999-06-23,5,11,12,13,24,37,1
55,1999-06-19,1,6,8,25,26,27,34
56,1999-06-16,1,9,12,18,19,31,42
57,1999-06-12,1,10,12,19,31,40,13
58,1999-06-09,2,3,4,12,20,24,5
59,1999-06-05,3,13,19,26,30,36,8
60,1999-06-02,2,12,18,24,25,40,15
61,1999-05-29,1,14,15,31,37,39,36
62,1999-05-26,7,8,11,25,30,38,29
63,1999-05-22,1,5,15,25,28,37,24
64,1999-05-19,2,4,17,25,27,35,21
65,1999-05-15,10,15,18,24,34,36,41
66,1999-05-12,2,11,24,32,35,40,17
67,1999-05-08,12,14,15,32,36,42,35
68,1999-05-05,3,5,7,10,16,19,11
69,1999-05-01,6,7,11,13,16,33,24
70,1999-04-28,7,10,12,15,16,36,4
71,1999-04-24,9,17,24,26,29,38,41
72,1999-04-21,7,11,13,20,36,37,21
73,1999-04-17,1,5,10,14,27,35,11
74,1999-04-14,14,15,19,24,28,41,31
75,1999-04-10,8,19,21,28,38,40,10
76,1999-04-07,3,8,10,21,30,42,35
77,1999-04-03,4,9,10,15,33,42,7
78,1999-03-31,8,10,12,20,27,30,29
79,1999-03-27,20,32,38,39,41,42,34
80,1999-03-24,12,14,21,25,27,28,33
81,1999-03-20,1,3,5,16,23,28,38
82,1999-03-17,6,12,19,28,35,42,13
83,1999-03-13,13,15,24,26,28,42,12
84,1999-03-10,11,19,23,27,36,41,42
85,1999-03-06,2,4,10,27,28,33,19
86,1999-03-03,7,14,19,26,32,36,15
87,1999-02-27,3,6,13,18,32,34,19
88,1999-02-24,3,5,10,14,19,29,38
89,1999-02-20,20,23,30,31,40,41,29
90,1999-02-17,1,17,20,22,27,32,3
91,1999-02-13,5,10,17,20,27,33,18
92,1999-02-10,2,9,11,24,27,40,14
93,1999-02-06,3,16,18,33,37,40,27
94,1999-02-03,8,14,17,27,28,30,37
95,1999-01-30,5,14,21,28,30,37,2
96,1999-01-27,4,8,9,13,19,20,24
97,1999-01-23,3,20,24,25,36,40,32
98,1999-01-20,7,17,19,23,25,31,34
99,1999-01-16,3,5,21,26,27,41,28
100,1999-01-13,2,19,23,25,39,42,9
101,1999-01-09,12,16,22,23,28,36,20
102,1999-01-06,7,10,14,24,37,41,11
103,1999-01-02,2,11,16,21,37,40,10
