Date,a,b,c,d,e,f,Bonus
30/03/2016,2,10,27,38,39,43,9
26/03/2016,4,8,20,23,29,41,6
23/03/2016,3,10,21,25,28,34,19
19/03/2016,7,13,26,36,39,42,18
16/03/2016,4,14,21,28,35,36,25
12/03/2016,9,18,23,27,31,38,30
09/03/2016,4,6,12,13,15,31,14
05/03/2016,2,8,16,24,33,42,47
02/03/2016,10,11,21,23,25,44,35
27/02/2016,7,8,22,35,39,46,31
24/02/2016,1,15,17,34,39,46,12
20/02/2016,10,14,22,32,34,40,27
17/02/2016,7,10,19,29,39,44,45
13/02/2016,2,12,21,22,30,37,10
10/02/2016,10,22,27,37,41,42,21
06/02/2016,3,4,14,25,42,45,17
03/02/2016,1,4,7,14,15,42,37
30/01/2016,21,25,26,28,33,47,30
27/01/2016,6,7,11,17,23,33,21
23/01/2016,10,12,13,19,43,45,5
20/01/2016,3,6,17,23,27,29,5
16/01/2016,14,18,25,27,33,44,38
13/01/2016,10,14,26,37,42,47,2
09/01/2016,2,11,14,28,29,34,37
06/01/2016,2,15,25,43,45,46,16
02/01/2016,10,19,23,28,31,32,6
30/12/2015,9,18,22,25,43,44,6
26/12/2015,5,6,10,14,40,41,16
23/12/2015,15,21,28,32,36,47,39
19/12/2015,3,14,22,38,45,46,16
16/12/2015,3,8,27,32,39,47,1
12/12/2015,1,10,13,14,16,30,32
09/12/2015,1,4,12,31,37,39,18
05/12/2015,1,6,17,25,31,38,29
02/12/2015,8,9,16,26,32,47,35
28/11/2015,3,7,17,24,26,29,40
25/11/2015,2,5,7,16,46,47,15
21/11/2015,3,9,13,27,38,44,14
18/11/2015,5,7,10,16,30,46,32
14/11/2015,12,16,22,36,40,43,4
11/11/2015,3,5,14,30,40,43,45
07/11/2015,5,8,9,10,15,29,17
04/11/2015,1,5,8,19,20,28,3
31/10/2015,3,8,15,25,39,45,28
28/10/2015,5,7,10,18,41,47,44
24/10/2015,3,12,15,19,23,32,20
21/10/2015,10,11,36,41,44,46,45
17/10/2015,4,7,19,22,25,41,8
14/10/2015,8,13,16,18,30,31,39
10/10/2015,1,21,34,36,38,40,5
07/10/2015,8,12,13,28,34,46,44
03/10/2015,1,15,17,31,36,45,18
30/09/2015,4,9,27,31,38,39,10
26/09/2015,4,8,26,28,34,38,30
23/09/2015,5,6,14,16,32,43,27
19/09/2015,7,26,34,39,41,42,31
16/09/2015,3,9,22,25,27,31,23
12/09/2015,6,12,15,17,32,40,21
09/09/2015,2,6,21,26,43,45,12
05/09/2015,7,9,17,20,26,27,40
02/09/2015,7,20,22,33,35,42,41
